Decrease 5%	-5	-3
Decrease 5%	-5	-2
Decrease 5%	-5	-1
Decrease 5%	-5	0
Decrease 5%	-5	1
Decrease 5%	-5	2
Decrease 5%	-5	3
Decrease 10%	-10	-3.5
Decrease 10%	-10	-3
Decrease 10%	-10	-2.5
Decrease 10%	-10	-2
Decrease 10%	-10	-1.5
Decrease 10%	-10	-1
Decrease 10%	-10	-0.5
Decrease 10%	-10	0
Decrease 10%	-10	0.5
Decrease 10%	-10	1
Decrease 10%	-10	1.5
Decrease 10%	-10	2
Decrease 10%	-10	2.5
Decrease 10%	-10	3
Decrease 10%	-10	3.5
Decrease 15%	-15	-3
Decrease 15%	-15	-2
Decrease 15%	-15	-1
Decrease 15%	-15	0
Decrease 15%	-15	1
Decrease 15%	-15	2
Decrease 20%	-20	-3
Decrease 20%	-20	-2
Decrease 20%	-20	-1
Decrease 20%	-20	0
Decrease 20%	-20	1
Decrease 20%	-20	2
Decrease 20%	-20	3
Decrease 25%	-25	-3
Decrease 25%	-25	-1.5
Decrease 25%	-25	0
Decrease 25%	-25	1.5
Decrease 25%	-30	3
Decrease 30%	-30	-4
Decrease 30%	-30	-3
Decrease 30%	-30	-2
Decrease 30%	-30	-1
Decrease 30%	-30	0
Decrease 30%	-30	1
Decrease 30%	-30	2
Decrease 30%	-30	3
Decrease 30%	-30	4
Decrease 40%	-40	-3
Decrease 40%	-40	-1
Decrease 40%	-40	1
Decrease 40%	-40	3
Decrease 50%	-50	-3
Decrease 50%	-50	-1
Decrease 50%	-50	1
Decrease 50%	-50	3
Decrease 60%	-60	-1
Decrease 60%	-60	1
Decrease 80%	-80	0
Decrease 100%	-100	0
Increase 10%	10	0
